"IATA","Airport Name","City Name","Country Name","WAC State","WAC Sub Country","WAC Country","Longitude","Latitude","Eff From","Eff To"
"FCN","Cuxhaven","Cuxhaven","Germany","","","429","008.39.31E","53.46.03N","01Apr2007","31Oct2007"
"FCN","Cuxhaven","Cuxhaven","Germany","","","429","008.39.31E","53.46.04N","01Mar2008","31Dec2038"
"FDH","Friedrichshafen","Friedrichshafen","Germany","","","429","009.30.41E","47.40.17N","01Jan1996","31Dec2038"
"FKB","Karlsruhe/Baden-Baden Baden Airpark","Karlsruhe/Baden-Baden","Germany","","","429","008.04.50E","48.46.46N","01Jan1997","31Dec2038"
"FMM","Memmingen","Memmingen","Germany","","","429","010.14.37E","47.59.33N","01Jun2006","30Sep2006"
"FMM","Memmingen","Memmingen","Germany","","","429","010.14.15E","47.59.17N","01Apr2007","31Dec2038"
"FMO","Muenster/Osnabrueck (DE)","Muenster/Osnabrueck (DE)","Germany","","","429","007.41.05E","52.08.05N","01Jan1996","26Feb2022"
"FMO","Muenster/Osnabrueck (DE) 00","Muenster/Osnabrueck (DE) 00","Germany","","","429","007.41.05E","52.08.05N","27Feb2022","31Dec2038"
"FNB","Neubrandenburg","Neubrandenburg","Germany","","","429","013.18.22E","53.36.08N","01Jul1999","31Jul1999"
"FNB","Neubrandenburg","Neubrandenburg","Germany","","","429","013.18.22E","53.36.08N","01Jul2001","31Jul2001"
"FNB","Neubrandenburg","Neubrandenburg","Germany","","","429","013.18.22E","53.36.08N","01Oct2001","31Oct2001"
"FNB","Neubrandenburg","Neubrandenburg","Germany","","","429","013.18.22E","53.36.08N","01Feb2002","28Feb2002"
"FNB","Neubrandenburg","Neubrandenburg","Germany","","","429","013.18.22E","53.36.08N","01May2002","31Oct2002"
"FNB","Neubrandenburg","Neubrandenburg","Germany","","","429","013.18.22E","53.36.08N","01Jun2012","31Dec2038"
"FRA","Frankfurt International Apt","Frankfurt","Germany","","","429","008.34.14E","50.01.59N","01Jan1996","31Dec2038"
"GKE","Geilenkirchen","Geilenkirchen","Germany","","","429","006.02.33E","50.57.39N","28Aug2022","31Dec2038"
"GTI","Guettin","Guettin","Germany","","","429","012.19.00E","54.23.00N","01Jan1996","31Dec2038"
"GWT","Westerland","Westerland","Germany","","","429","008.20.26E","54.54.48N","01Jan1996","31Dec2038"
"HAJ","Hanover","Hanover","Germany","","","429","009.41.06E","52.27.40N","01Jan1996","31Jul2009"
"HAJ","Hannover","Hannover","Germany","","","429","009.41.22E","52.27.38N","01Aug2009","31Dec2038"
"HAM","Hamburg","Hamburg","Germany","","","429","009.59.18E","53.37.49N","01Jan1996","05Sep1997"
"HAM","Hamburg Fuhlsbuttl Airport","Hamburg","Germany","","","429","009.59.18E","53.37.49N","06Sep1997","30Jun2000"
"HAM","Hamburg Fuhlsbuettel Airport","Hamburg","Germany","","","429","009.59.18E","53.37.49N","01Jul2000","31Aug2006"
"HAM","Hamburg Airport","Hamburg","Germany","","","429","009.59.18E","53.37.49N","01Sep2006","31Dec2038"
"HBZ","Hannover","Hannover","Germany","","","429","009.44.12E","52.37.58N","01Jul2009","31Jul2009"
"HDB","Heidelberg","Heidelberg","Germany","","","429","008.43.00E","49.25.00N","01Jan1996","31Mar2006"
"HDB","Heidelberg","Heidelberg","Germany","","","429","008.39.07E","49.23.36N","01Aug2006","31Dec2038"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Jan1996","31Dec1998"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Mar1999","31Oct1999"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Mar2000","30Sep2000"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Feb2001","31Oct2001"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Feb2002","31Oct2002"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Dec2002","31Oct2005"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Jan2006","31Oct2006"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Dec2006","30Sep2007"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Nov2007","31Oct2008"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Jan2009","31Oct2011"
"HDF","Heringsdorf","Heringsdorf","Germany","","","429","014.09.08E","53.52.43N","01Dec2011","31Dec2038"
"HEI","Heide/Buesum","Heide/Buesum","Germany","","","429","008.54.06E","54.09.12N","01Mar2000","31Oct2000"
"HEI","Heide/Buesum","Heide/Buesum","Germany","","","429","008.54.06E","54.09.12N","01Dec2000","31Mar2001"
"HEI","Heide/Buesum","Heide/Buesum","Germany","","","429","008.54.06E","54.09.12N","01Apr2002","31Dec2004"
"HEI","Heide-Buesum","Heide-Buesum","Germany","","","429","008.54.06E","54.09.12N","01Jul2005","31Oct2006"
"HEI","Heide-Buesum","Heide-Buesum","Germany","","","429","008.54.06E","54.09.12N","01Dec2006","31Oct2008"
"HEI","Heide/Buesum","Heide/Buesum","Germany","","","429","008.54.06E","54.09.12N","01Mar2010","31Dec2038"
"HGL","Helgoland","Helgoland","Germany","","","429","007.54.57E","54.11.07N","01Jan1996","31Oct2006"
"HGL","Helgoland","Helgoland","Germany","","","429","007.54.57E","54.11.07N","01Dec2006","31Oct2008"
"HGL","Helgoland","Helgoland","Germany","","","429","007.54.57E","54.11.07N","01Mar2010","31Dec2038"
"HHN","Frankfurt Hahn Airport","Frankfurt","Germany","","","429","007.15.50E","49.56.55N","01Aug1998","31Dec2038"
"HHN","Hahn","Hahn","Germany","","","429","007.15.50E","49.56.55N","06Jul1996","31Jul1998"
"HOQ","Hof","Hof","Germany","","","429","011.51.18E","50.17.20N","01Jan1996","24Dec2022"
