"IATA","Airport Name","City Name","Country Name","WAC State","WAC Sub Country","WAC Country","Longitude","Latitude","Eff From","Eff To"
"NUE","Nuremberg Apt","Nuremberg (DE)","Germany","","","429","011.04.01E","49.29.55N","01Jan1998","31Jul2009"
"NUE","Nuremberg","Nuremberg (DE)","Germany","","","429","011.04.01E","49.29.55N","01Aug2009","24Oct2015"
"NUE","Nuremberg, Nuremberg","Nuremberg (DE)","Germany","","","429","011.04.01E","49.29.55N","25Oct2015","23Sep2023"
"NUE","Nuremberg Airport","Nuremberg (DE)","Germany","","","429","011.04.01E","49.29.55N","24Sep2023","31Dec2038"
"OBF","Oberpfaffenhofen","Oberpfaffenhofen","Germany","","","429","011.17.00E","48.05.00N","08Mar2015","31Dec2038"
"PAD","Paderborn/Lippstadt","Paderborn/Lippstadt","Germany","","","429","008.36.59E","51.36.51N","01Jan1996","31Dec2038"
"PSH","St Peter-Ording","St Peter-Ording","Germany","","","429","008.41.13E","54.18.32N","08Jul2018","31Dec2038"
"QBO","Bochum Off-Line Pt","Bochum Off-Line Pt","Germany","","","429","007.11.00E","51.28.00N","01Jan1996","31Aug1998"
"QFB","Freiburg Off-Line Pt","Freiburg Off-Line Pt","Germany","","","429","007.51.00E","48.00.00N","01Jan1996","31Aug1998"
"QHD","Hahnweide Off Line Point","Hahnweide Off Line Point","Germany","","","429","007.15.10E","49.57.10N","01Jan1996","03Oct1997"
"QII","Lindau Off-Line Point","Lindau Off-Line Point","Germany","","","429","012.06.00E","52.02.00N","01Jan1996","31Aug1998"
"QKA","Karlsruhe Off-Line Pt","Karlsruhe Off-Line Pt","Germany","","","","008.24.00E","49.03.00N","01Jan1996","03May1996"
"QLH","Kelsterbach","Kelsterbach","Germany","","","429","008.32.00E","50.04.00N","01Jun1999","31Oct1999"
"QLH","Kelsterbach","Kelsterbach","Germany","","","429","008.32.00E","50.04.00N","01Feb2000","31Dec2038"
"QMZ","Mainz Off-Line Pt","Mainz Off-Line Pt","Germany","","","429","008.16.00E","50.00.00N","01Jan1996","31May1999"
"QWU","Wurzburg Off-Line Pt","Wurzburg Off-Line Pt","Germany","","","429","009.56.10E","49.47.16N","01Jan1996","31Aug1998"
"RBM","Straubing","Straubing","Germany","","","429","012.31.05E","48.54.03N","01Jan1996","01Dec2018"
"RBM","Straubing","Straubing","Germany","","","429","012.31.05E","48.54.03N","02Dec2018","31Dec2038"
"RLG","Rostock (DE)","Rostock (DE)","Germany","","","429","012.16.42E","53.55.05N","01Jan1996","19Aug2023"
"RLG","Rostock (DE) 00","Rostock (DE) 00","Germany","","","429","012.16.42E","53.55.05N","20Aug2023","31Dec2038"
"RMS","Ramstein","Ramstein","Germany","","","429","007.36.01E","49.26.13N","01Jul2012","31Dec2038"
"RTK","Rostock (DE) 00","Rostock (DE) 00","Germany","","","429","012.07.51E","54.04.42N","20Aug2023","31Dec2038"
"SCN","Saarbrucken","Saarbrucken (DE) 00","Germany","","","429","007.00.00E","49.12.52N","01Jan1996","31May1996"
"SCN","Saarbrucken Ensheim Airport","Saarbrucken (DE) 00","Germany","","","429","007.00.00E","49.12.52N","01Jun1996","31Dec1996"
"SCN","Saarbruecken Airport","Saarbrucken (DE)","Germany","","","429","007.06.38E","49.12.53N","01Jan1997","31Dec2038"
"SDA","Saarbruecken","Saarbruecken","Germany","","","429","007.01.38E","49.16.39N","29Sep2014","05Oct2014"
"SGE","Siegen","Siegen","Germany","","","429","008.02.00E","50.52.00N","01Oct2001","31Dec2038"
"STR","Stuttgart Apt","Stuttgart","Germany","","","429","009.13.19E","48.41.24N","01Jan1996","31May1998"
"STR","Stuttgart Echterdingen Apt","Stuttgart","Germany","","","429","009.13.19E","48.41.24N","01Jun1998","30Apr2007"
"STR","Stuttgart Airport","Stuttgart","Germany","","","429","009.13.19E","48.41.24N","01May2007","21Jan2023"
"STR","Stuttgart Airport","Stuttgart","Germany","","","429","009.13.19E","48.41.24N","22Jan2023","31Dec2038"
"SXF","Berlin Schoenefeld Apt (DE)","Berlin (DE)","Germany","","","429","013.31.14E","52.22.43N","01Jan1996","01Dec2018"
"SXF","Berlin Schoenefeld Apt (DE)","Berlin (DE)","Germany","","","429","013.31.14E","52.22.43N","02Dec2018","23Mar2019"
"SXF","Berlin Schoenefeld Apt (DE)","Berlin (DE)","Germany","","","429","013.31.14E","52.22.43N","24Mar2019","27Apr2019"
"SXF","Berlin Schoenefeld Apt (DE)","Berlin (DE)","Germany","","","429","013.31.14E","52.22.43N","28Apr2019","03Oct2020"
"SXF","Berlin Schoenefeld Apt (DE)","Berlin (DE)","Germany","","","429","013.31.14E","52.22.43N","04Oct2020","17Oct2020"
"SXF","Berlin Schoenefeld Apt (DE)","Berlin (DE)","Germany","","","429","013.31.14E","52.22.43N","18Oct2020","02Apr2022"
"SXF","Berlin (DE) 00","Berlin (DE) 00","Germany","","","429","013.31.14E","52.22.43N","03Apr2022","31Dec2038"
"SZW","Schwerin","Schwerin","Germany","","","429","011.47.00E","53.26.00N","01Jul1998","31Jul1998"
"SZW","Schwerin","Schwerin","Germany","","","429","011.47.00E","53.26.00N","01Oct1998","30Nov1999"
"SZW","Schwerin","Schwerin","Germany","","","429","011.47.00E","53.26.00N","01Jan2000","31Jan2000"
"SZW","Schwerin","Schwerin","Germany","","","429","011.47.00E","53.26.00N","01Jul2000","31Jul2000"
"SZW","Schwerin","Schwerin","Germany","","","429","011.47.00E","53.26.00N","01Oct2001","31Oct2001"
"SZW","Schwerin","Schwerin","Germany","","","429","011.46.59E","53.25.38N","01Oct2010","31Dec2038"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","013.24.06E","52.28.25N","01Jan1996","01Dec2018"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","13.4017","52.4736","02Dec2018","23Mar2019"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","13.4017","52.4736","24Mar2019","27Apr2019"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","13.4017","52.4736","28Apr2019","03Oct2020"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","13.4017","52.4736","04Oct2020","17Oct2020"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","13.4017","52.4736","18Oct2020","02Apr2022"
"THF","Berlin Tempelhof Apt","Berlin (DE) 00","Germany","","","","13.4017","52.4736","03Apr2022","21May2022"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","13.4017","52.4736","22May2022","18Jun2022"
"THF","Berlin Tempelhof Apt","Berlin (DE) 00","Germany","","","","13.4017","52.4736","19Jun2022","20Aug2022"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","13.4017","52.4736","21Aug2022","07Jan2023"
"THF","Berlin Tempelhof Apt","Berlin (DE)","Germany","","","","13.4017","52.4736","08Jan2023","31Dec2038"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","01Jan1996","01Dec2018"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","02Dec2018","23Mar2019"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","24Mar2019","27Apr2019"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","28Apr2019","03Oct2020"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","04Oct2020","17Oct2020"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","18Oct2020","02Apr2022"
"TXL","Berlin Tegel Apt","Berlin (DE) 00","Germany","","","429","013.17.16E","52.33.35N","03Apr2022","21May2022"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","22May2022","18Jun2022"
"TXL","Berlin Tegel Apt","Berlin (DE) 00","Germany","","","429","013.17.16E","52.33.35N","19Jun2022","20Aug2022"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","21Aug2022","07Jan2023"
"TXL","Berlin Tegel Apt","Berlin (DE)","Germany","","","429","013.17.16E","52.33.35N","08Jan2023","31Dec2038"
"UWE","Wiesbaden Off-Line Pt","Wiesbaden Off-Line Pt","Germany","","","429","008.14.00E","50.05.00N","01Jan1996","31Aug1998"
"WVN","Wilhelmshaven","Wilhelmshaven","Germany","","","429","008.03.12E","53.30.17N","01Jan1997","31Dec2038"
"XFW","Hamburg Finkenwerder","Hamburg","Germany","","","429","009.50.13E","53.32.09N","01Jun2011","30Jun2011"
"XFW","Hamburg Finkenwerder","Hamburg","Germany","","","429","009.50.13E","53.32.09N","01Oct2011","31Dec2038"
"XFW","Finkenwerder","Finkenwerder","Germany","","","429","009.50.13E","53.32.09N","01Aug1999","31Jul2000"
"XFW","Finkenwerder","Finkenwerder","Germany","","","429","009.50.13E","53.32.09N","01Dec2000","31Jan2002"
"XHJ","Aachen","Aachen","Germany","","","429","006.05.28E","50.46.06N","28Jan2013","09Jul2016"
"XLW","Lemwerder","Lemwerder","Germany","","","429","008.37.04E","53.08.07N","01Nov2003","31Dec2038"
"ZCC","Baden Baden Off-Line Point","Baden Baden Off-Line Point","Germany","","","429","008.15.00E","48.45.00N","01Jan1996","31May1999"
"ZEE","Fulda Off Line Point","Fulda Off Line Point","Germany","","","429","009.41.00E","50.33.00N","01Jan1996","31Aug1998"
"ZEU","Goettingen Off Line Point","Goettingen Off Line Point","Germany","","","429","009.56.00E","51.32.00N","01Jan1996","31Aug1998"
"ZEY","Hagen Off Line Point","Hagen Off Line Point","Germany","","","429","008.39.00E","53.22.00N","01Jan1996","31May2000"
"ZEY","Hagen Off-Line Point","Hagen Off-Line Point","Germany","","","429","008.39.00E","53.22.00N","01Jun2000","30Jun2000"
"ZNS","Kempten","Kempten","Germany","","","429","010.19.05E","47.42.43N","08May2022","31Dec2038"
"ZNV","Koblenz Off-Line Point","Koblenz Off-Line Point","Germany","","","429","007.36.00E","50.21.00N","01Jan1996","03May1996"
"ZOG","Lueneburg Off Line Point","Lueneburg Off Line Point","Germany","","","429","010.24.00E","53.15.00N","01Jan1996","03Oct1997"
"ZPE","Osnabrueck Off Line Point","Osnabrueck Off Line Point","Germany","","","429","008.03.00E","52.17.00N","01Jan1996","03Oct1997"
"ZPF","Passau Off Line Point","Passau Off Line Point","Germany","","","429","013.28.00E","48.35.00N","01Jan1996","31Aug1998"
"ZPM","Regensburg Off Line Point","Regensburg Off Line Point","Germany","","","429","012.07.00E","49.01.00N","01Jan1996","03Oct1997"
"ZPY","Siegburg","Siegburg","Germany","","","429","007.12.00E","50.48.00N","01Aug2006","03Jun2023"
"ZQW","Saarbrucken Zweibruecken Airport","Saarbrucken (DE)","Germany","","","429","007.24.02E","49.12.34N","01Oct1999","31Oct1999"
"ZQW","Saarbrucken Zweibruecken Airport","Saarbrucken (DE)","Germany","","","429","007.24.02E","49.12.34N","01Sep2002","30Sep2002"
"ZQW","Saarbrucken Zweibruecken Airport","Saarbrucken (DE)","Germany","","","429","007.24.02E","49.12.34N","01Oct2003","31Oct2003"
"ZQW","Saarbrucken Zweibruecken Airport","Saarbrucken (DE)","Germany","","","429","007.24.02E","49.12.34N","01May2004","31Oct2004"
"ZQW","Saarbrucken Zweibruecken Airport","Saarbrucken (DE)","Germany","","","429","007.24.02E","49.12.34N","01Mar2005","31Mar2005"
"ZQW","Saarbrucken Zweibruecken Airport","Saarbrucken (DE)","Germany","","","429","007.24.02E","49.12.34N","01Jun2005","30Nov2005"
"ZQW","Saarbrucken Zweibruecken Airport","Saarbrucken (DE)","Germany","","","429","007.24.02E","49.12.34N","01Mar2006","29Aug2012"
"ZQW","Zweibruecken Airport","Saarbrucken (DE)","Germany","","","429","007.24.02E","49.12.34N","30Aug2012","31Dec2038"
